term_zh	term_en	category	locked	note
# 角色（专名，音译/历史译名锁定）
安娜	Anna	角色	1
奥利维亚	Olivia	角色	1
伊娃	Eva	角色	1
塞西莉亚	Cecilia	角色	1
艾丽莎	Alyssa	角色	1
莉娜	Lina	角色	1
艾玛	Emma	角色	1
弗雷娅	Freya	角色	1	北欧神话女神名
玛丽亚	Maria	角色	1
格蕾丝	Grace	角色	1
格洛丽	Glory	角色	1
巴塞洛缪	Bartholomew	角色	1
詹姆斯	James	角色	1
邓肯	Duncan	角色	1
华莱士	Wallace	角色	1	威廉·华莱士同源
歌利亚	Goliath	角色	1	圣经巨人
鲁芬	Ruffin	角色	1
韦托里	Vettori	角色	1	意大利姓氏
琼斯	Jones	角色	1
罗杰	Roger	角色	1
不朽者罗杰	Roger the Immortal	角色	1
独眼罗杰	Roger the One-Eyed	角色	1
红罗杰	Roger the Red	角色	1
戴尔镇长	Mayor Dale	角色	1
爱德华王子	Prince Edward	角色	1	百年战争黑太子
国王	King	角色	1
军士	Sergeant	角色	1	身份词，对话语境可称"老军士"
铁匠	Blacksmith	角色	1
骑士	Knight	角色	1
典狱长	Warden	角色	1
瘟疫斗士	Plague Champion	角色	1	champion=斗士，非"冠军"
亚瑟·德·罗萨蒙德	Arthur de Rosamund	角色	1
贝尔纳·德·沙蒂永	Bernard de Chatillion	角色	1	历史家族 Châtillon=沙蒂永
雷诺·德·沙蒂永	Renauld de Chatillion	角色	1	史称"沙蒂永的雷诺"
雅克·德·拉兰	Jacques de Lalaing	角色	1	史实勃艮第比武冠军骑士
拜巴尔斯	Beibars	角色	1	马穆鲁克苏丹
德·蒙福尔	De Monfort	角色	1	历史贵族家族
德·罗什	De Roche	角色	1
# 地名（历史中文惯用译名锁定）
北安普顿	Northampton	地名	1	标准历史译名
坎特伯雷	Canterbury	地名	1
温莎	Windsor	地名	1
伦敦	London	地名	1
剑桥	Cambridge	地名	1
格林威治	Greenwich	地名	1	民间通行译名
达特福德	Dartford	地名	1
奇彭纳姆	Chippenham	地名	1
布里斯托尔	Bristol	地名	1
梅德斯通	Maidstone	地名	1
牛津	Oxford	地名	1
约克	York	地名	1
鲁昂	Rouen	地名	1
雷恩	Rennes	地名	1
康布雷	Cambrai	地名	1	百年战争战场
敦刻尔克	Dunkirk	地名	1
巴黎	Paris	地名	1
诺曼底	Normandy	地名	1
达米埃塔	Damietta	地名	1	十字军埃及港口
特雷维索	Treviso	地名	1
纳瓦拉	Navarre	地名	1
威尼斯	Venice	地名	1
英格兰	England	地名	1
苏格兰	Scotland	地名	1
# 机制词（玩法口语化，三体力词严格区分）
体力	Stamina	机制	1	攻击消耗
疲劳	Fatigue	机制	1	累积负面
耐力	Endurance	机制	1	属性
协调	Coordination	机制	1	属性
敏捷	Agility	机制	1	属性
力量	Strength	机制	1	属性
美德	Virtue	机制	1	献祭/善恶值
威望	Prestige	机制	1	数值声望
声望	Reputation	机制	1	阵营关系
护甲	Armor	机制	1
流血	Bleed	机制	1
伤势	Injury	机制	1
创伤	Wound	机制	1
佯攻	Feint	机制	1
致盲	Blind	机制	1
击倒	Knock	机制	1
闪避	Dodge	机制	1
覆盖	Cover	机制	1	护甲部位覆盖
武器技能	Weapon Skill	机制	1
格挡	Parry	机制	1
# 敌人/兵种（中世纪军事术语）
甲士	Man-at-arms	敌人	1	职业甲兵
武装军士	Sergeant-at-arms	敌人	1
骑士侍从	Esquire	敌人	1
武装侍从	Arms Bearer	敌人	1
重装骑兵	Knight Bachelor	敌人	1
旗队骑士	Knight Banneret	敌人	1
战争领主	Knight Warmaster	敌人	1
十字军骑士	Crusader Knight	敌人	1
十字军战士	Crusader Warrior	敌人	1
英国骑士	English Knight	敌人	1
法国骑士	French Knight	敌人	1
苏格兰骑士	Scottish Knight	敌人	1
法兰西步兵	French Footman	敌人	1
苏格兰步兵	Scottish Footman	敌人	1
苏格兰贵族	Scottish Nobleman	敌人	1
法国贵族	French Noble	敌人	1
法国士兵	French Soldier	敌人	1
法兰西甲士	French Man-at-arms	敌人	1
苏格兰甲士	Scottish Man-at-arms	敌人	1
民兵	Militiaman	敌人	1
